Year,data.area,Value
2021,data.sied,5871
2020,data.sied,5876
2019,data.sied,5877
2018,data.sied,5887
2017,data.sied,5862
2016,data.sied,5854
2021,data.wohn,2697
2020,data.wohn,2672
2019,data.wohn,2650
2018,data.wohn,2621
2017,data.wohn,2600
2016,data.wohn,2562
2021,data.indu,852
2020,data.indu,843
2019,data.indu,844
2018,data.indu,842
2017,data.indu,838
2016,data.indu,812
2021,data.freiz,1497
2020,data.freiz,1517
2019,data.freiz,1511
2018,data.freiz,1515
2017,data.freiz,1516
2016,data.freiz,1528
