Year,Gruppe,Value
2010,Untergewicht,13
2011,Untergewicht,13
2012,Untergewicht,11
2013,Untergewicht,12
2014,Untergewicht,12
2015,Untergewicht,9
2016,Untergewicht,10
2017,Untergewicht,11
2018,Untergewicht,10
2019,Untergewicht,11
2020,Untergewicht,11
2010,Normalgewicht,80
2011,Normalgewicht,81
2012,Normalgewicht,82
2013,Normalgewicht,81
2014,Normalgewicht,81
2015,Normalgewicht,83
2016,Normalgewicht,82
2017,Normalgewicht,83
2018,Normalgewicht,83
2019,Normalgewicht,81
2020,Normalgewicht,79
2010,Übergewicht,7
2011,Übergewicht,6
2012,Übergewicht,7
2013,Übergewicht,7
2014,Übergewicht,7
2015,Übergewicht,8
2016,Übergewicht,8
2017,Übergewicht,6
2018,Übergewicht,7
2019,Übergewicht,8
2020,Übergewicht,9
