Year,Units,Value
2010,million eur,202.7
2011,million eur,247.8
2012,million eur,218.1
2013,million eur,312.2
2014,million eur,268.4
2015,million eur,485.0
2016,million eur,518.8
2017,million eur,569.7
2018,million eur,482.5
2019,million eur,536.5
2020,million eur,798.4
2010,"million usd, constant prices (2020)",272.6
2011,"million usd, constant prices (2020)",329.7
2012,"million usd, constant prices (2020)",286.0
2013,"million usd, constant prices (2020)",401.4
2014,"million usd, constant prices (2020)",338.8
2015,"million usd, constant prices (2020)",601.1
2016,"million usd, constant prices (2020)",634.5
2017,"million usd, constant prices (2020)",686.4
2018,"million usd, constant prices (2020)",570.0
2019,"million usd, constant prices (2020)",621.1
2020,"million usd, constant prices (2020)",909.9
